issuer,sector,short_name,isin,currency,volume_circulation,min_lot,status,issue_date,maturity_date,price,accumulated_coupon,denomination,сoupon,сoupon_once_year,сoupon_type,instrument_type,amort,subord,guarant,high_yield,available_iis,hold_benefit
"ПАО ""НК ""Роснефть""",корпоративные,Роснфт2P4 / Роснефть обб2П04,RU000A0ZYT40,RUB,50.00 RUB,1000,В обращении,15.02.2018,03.02.2028,97.88 / 97.88 / 97.91,28.49,1000,39.89 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""ВсеИнструменты.ру""",корпоративные,ВсИнстр1Р2 / ВсеИнструменты.ру оббП02,RU000A109VJ2,RUB,4.50 RUB,1000,В обращении,25.10.2024,11.10.2027,97.79 / 97.4 / 97.76,14.77,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Сэтл Групп""",корпоративные,СэтлГрБ1P4 / Сэтл Групп оббП04,RU000A103WQ8,RUB,7.50 RUB,1000,В обращении,22.10.2021,18.04.2025,94.69 / 94.62 / 94.69,15.28,1000,23.56 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Банк ГПБ (АО),корпоративные,ГПБ001P17P / ГПБ оббП16,RU000A101Z74,RUB,10.63 RUB,1000,В обращении,31.07.2020,31.07.2030,82.18 / 81.81 / 82.18,48.21,1000,64.27 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Республика Казахстан,государственные,Казахст05 / Республика Казахстан об05,RU000A101RT6,RUB,10.00 RUB,1000,В обращении,28.06.2021,22.06.2026,78.99 / 78.91 / 78.99,35.86,1000,37.30 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Газпром капитал""",корпоративные,ГазКЗ-27Д2 / Газпром капитал об3П06,RU000A105JH9,USD,0.63 USD,1000,В обращении,09.12.2022,29.06.2027,82.4692 / 82.2663 / 82.7995,1446.98,1000,15.00 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""КОНТРОЛ лизинг""",корпоративные,CTRLлиз1Р2 / КОНТРОЛ лизинг оббП02,RU000A1086N2,RUB,1.00 RUB,1000,В обращении,24.04.2024,29.03.2029,69.83 / 69.62 / 69.83,13,1000,15.00 RUB,12,фиксированный,Облигация,да,нет,нет,нет,да,да
"ООО ""Бизнес-Лэнд""",корпоративные,БИЗНЕС01 / Бизнес-лэнд обб01,RU000A108WJ2,RUB,0.30 RUB,1000,В обращении,04.07.2024,30.12.2027,78.1 / 77.74 / 78,46.63,1000,57.34 RUB,4,фиксированный,Облигация,NAN,нет,нет,да,да,да
"АО ""ТМХ""",корпоративные,ТрансмхПБ7 / Трансмашхолдинг оббП07,RU000A106CU5,RUB,10.00 RUB,1000,В обращении,09.06.2023,02.06.2027,80.8 / 80.7 / 80.83,2.79,1000,50.86 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"АО ЛК ""Роделен""",корпоративные,Роделен1P3 / ЛК Роделен оббП03,RU000A105M59,RUB,0.25 RUB,1000,В обращении,15.12.2022,19.11.2027,99.59 / 99.58 / 99.59,8.88,1000,22.19 RUB,12,фиксированный,Облигация,да,нет,нет,нет,да,да
"ПАО ""Совкомфлот""",корпоративные,СКФ ЗО2028 / Совкомфлот Об02,RU000A105A87,USD,0.38 USD,1000,В обращении,07.11.2022,26.04.2028,81.8649 / 81.8683 / 83.4995,556.13,1000,19.25 USD,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Фармфорвард""",корпоративные,ФАРМФРД БО / Фармфорвард обб01,RU000A107BD1,RUB,0.30 RUB,1000,В обращении,05.12.2023,19.11.2026,81.08 / 81.1 / 81.41,8.62,1000,15.21 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""НоваБев Групп""",корпоративные,НоваБевБП6 / НоваБев Групп обб2П04,RU000A108CA3,RUB,3.00 RUB,1000,В обращении,26.04.2024,16.04.2026,93.41 / 93.33 / 93.43,9.8,1000,12.25 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
